competency,proficiency_level_1,behavioral_illustrations_1,proficiency_level_2,behavioral_illustrations_2,proficiency_level_3,behavioral_illustrations_3,proficiency_level_4,behavioral_illustrations_4,proficiency_level_5,behavioral_illustrations_5
Accounting Analysis,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Reviews standard data and reports to ensure their accuracy,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Applies general analytical and evaluation techniques to review accounting data in line with all accounting principles,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes",•	Interprets and evaluates accounting information using a variety of analytical methods to provide recommendations,"•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes",•	Solves difficult challenges through accounting analysis to determine the proper course of action and provides advice to decision-makers,"•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Examines the impact of complex accounting solutions to make controversial decisions, and negotiate with key stakeholders?"
"Accounting Concepts, Policies and Principles","•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Uses typical accounting and financial procedures and practices that apply to most situations,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Applies knowledge of policies and procedures to ensure adherence to accounting and financial guidelines,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Examines a variety of accounts, documents, records, related reports and processes to determine performance in accordance with appropriate procedures and regulations","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Develops accounting and financial guidelines that conform to fiscal requirements, and makes recommendations for improvement or implementation of new policies","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Interprets and advises others on accounting and financial policies, regulations and principles on new mandates and highly controversial issues having component and Agency-wide impacts"
Advanced Financial Management,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Develops and utilizes financial processes and resources to ensure effectiveness and accountability•	Performs finance functions with a high degree of effectiveness and efficiency ,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Monitors current financial processes to ensure that spending programs are affordable and sustainable over time,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes",•	Interprets and reports the results of the financial processes to ensure consistency with Component or major organization goals and strategic initiatives,"•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes",•	Oversees and manages all aspects of the financial process on behalf of a Department to ensure financial accountability,"•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes",•	Advises internal and external stakeholders and Congressional representatives on Department-wide financial processes/operations to ensure financial integrity
"Audit Concepts, Policies and Principles","•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Uses typical audit procedures and practices that apply to most situations,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Applies knowledge of policies and procedures to ensure adherence to auditing and accounting guidelines,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Analyzes a variety of documents, records and processes to determine performance in accordance with appropriate procedures and regulations","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Develops audit guidelines that conform to Generally Accepted Auditing Standards (GAAS) and Generally Accepted Government Auditing Standards (GAGAS)
•	Makes recommendations for improvement or implementation of new policies  ","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Interprets and advises others on auditing and accounting policies, regulations and principles on new mandates and highly controversial issues having component and Agency-wide impacts"
"Budget Concepts, Policies and Principles","•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Utilizes budget and financial procedures and practices that apply to most situations, and drives performance by setting strategy and measuring performance","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Applies knowledge of policies and procedures to ensure adherence to budget and financial guidelines,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Examines a variety of program plans and funding to determine performance in accordance with appropriate procedures, regulations and law","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Develops budget and financial guidelines that conform to fiscal requirements
•	Makes recommendations regarding the budget process or financial operations","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Interprets and advises others on financial policies, regulations and principles on new mandates and highly controversial issues having component and Agency-wide impacts"
Budget Execution,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Applies basic knowledge of budget principles to complete budgeting transactions,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Develops execution reports and monitors status of funds to track organization’s budget, operations, and processes","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes",•	Interprets and evaluates budget execution for compliance with fiscal law and guidance,"•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes",•	Implement execution plans and monitors and recommends adjustments to ensure compliance with total obligation authority,"•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Manages budgetary requirements within the organization, ensures alignment, and develops and recommends appropriate strategies"
"Budget Formulation, Justification, and Presentation","•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Applies basic knowledge of budget principles to assist in planning,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Coordinates budget inputs and gathers justifications,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Interprets policies, assesses trends, reviews, coordinates and integrates the formulation and preparation of budget exhibits and justification materials","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Formulates budget, develops justifications and presents to stakeholders for feedback","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Oversees and ensures budget compliance, consolidates, defends, presents, provides guidance and resolves conflicts
•	Enhances stakeholder confidence by producing reliable budget, forecast, managerial, and financial reporting information or preventing fraud, waste, and abuse within the programs   "
"Commercial Pay Concepts, Policies and Principles","•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Applies current financial policies and procedures
•	Formulates guidance to others on handling new or changing work processes","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Researches transactions for validity using knowledge of the interrelationship between the appropriations and the various control and subsidiary accounts and the impacts of policies and laws on the various financial transactions,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Completes a variety of transactions by applying knowledge of policies, procedures and regulations","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Ensures accuracy of recurring transactions through knowledge of policies, procedures and regulations","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Performs routine commercial pay tasks requiring a basic knowledge of commonly used accounting, budget or other financial management procedures"
"Data Analytics, Management, and Visualization","•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Reviews data and identifies potential issues in reporting, standardization, or modeling
•	Initiates discussion regarding observations in datasets
•	Reviews and understands data visualizations","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Applies general analytical and evaluation techniques to review data in line with standardized data principles and procedures
•	Performs analyses as directed by others and provides accurate results
•	Uses basic data visualizations designed by colleagues","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Interprets and evaluates data using a variety of analytical and modeling methods to assess relationships and potential outcomes
•	Draws accurate conclusions by choosing the appropriate data sources, metrics, and analyses
•	Builds data visualizations to provide insights into data","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Solves challenging problems through data analysis to determine a proper course of action or provide guidance to decision makers
•	Designs and develops innovative data visualizations to explain complex relationships present in data ?",,
Decision Support,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Applies knowledge of financial, accounting, and economic analysis to assist with the decision making process","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Interprets the data of financial, accounting, and economic analysis to prepare for decision making ","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Analyzes results of the financial, accounting, and economic analysis to determine possible outcomes","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes",•	Develops and evaluates alternatives and interventions that are results of the analysis to provide valued recommendations,"•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes",•	Formulates solutions based on the recommendations to improve mission effectiveness
"Financial Concepts, Policies and Principles","•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Uses typical financial procedures and practices that apply to most situations,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Applies knowledge of policies and procedures to ensure adherence to financial guidelines,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Examines a variety of documents, records, and related reports, and processes, to determine performance in accordance with appropriate procedures and regulations","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Develops financial techniques and approaches that conform to fiscal requirements, and makes recommendations for improvement or implementation of new policies","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Interprets and advises others on financial policies, regulations and principles on new mandates and highly controversial issues having component and Agency-wide impacts"
Financial Management Analysis,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Reviews standard data and reports to ensure their accuracy; and assess risk by instituting risk management programs across the organization,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Applies general analytical and evaluation techniques to review financial data,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes",•	Interprets and evaluates financial information using a variety of analytical methods to provide recommendations,"•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes",•	Solves difficult challenges through financial analysis to determine the proper course of action and provides advice to decision-makers,"•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Examines the impact of complex financial management solutions to make controversial decisions, and negotiate with key stakeholders"
Financial Management Systems,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Uses basic information from financial management systems,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Inputs and extracts data and creates recurring reports to maintain financial integrity,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Identifies system problems, extracts ad hoc reports, recommends enhancements, and initiates system change requests","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Identifies functional processes, requirements or interfaces
•	Analyzes and resolves problems and authorizes enhancements to support financial management functions ",,
Financial Reporting,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Obtains data from financial management systems to acquire a basic knowledge of the financial statements and/or reports, while improving operations by increasing productivity such as by advancing the skill sets and knowledge of finance personnel","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Prepares and/or queries financial statements and/or reports to meet the requirements as specified in the Treasury Financial Manual along with other Departmental Agency Regulations,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes",•	Reviews and reconciles the financial statements and/or reports to ensure accuracy and completeness,"•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Summarizes information related to the financial statements and/or reports, and recommends improvement options","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes",•	Briefs senior leadership on financial business operations based on financial statements and/or reports
Financial Stewardship,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Performs and documents transactions and monitors records in compliance with laws, regulations, and policies to meet organizational goals and objectives","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Applies knowledge of policies and procedures to ensure compliance with laws, regulations, and policies, and efficient use of resources to meet organizational goals and objectives","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Allocates funds within approved guidelines
•	Uses appropriate finance and accounting procedures to ensure compliance with laws, regulations, and policies, and efficient use of resources to meet organizational goals and objectives","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Interprets, analyzes and advises others on financial policies, regulations and procedures to ensure compliance with laws, regulations, and policies, and efficient use of resources to meet organizational goals and objectives","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Manages and monitors all aspects of the financial process on behalf of a Department to ensure compliance with laws, regulations, and policies, and efficient use of resources to meet organizational goals and objectives
•	Supports the achievement of the agency’s programs with reliable, relevant, and timely financial information and analysis, and effective and efficient internal controls"
Fundamentals and Operations of Finance,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Applies knowledge of commonly used financial management procedures and techniques to perform routine and repetitive administrative tasks,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Gathers a variety of standard reports and data from various systems to support the financial management operational areas,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Initiates actions to locate, extract, adjust and compile financial data to support the financial management function","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes",•	Applies established procedures to determine and coordinate actions necessary to resolve non-recurring situations,"•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes",•	Applies knowledge of financial management policies and procedures to process non-recurring transactions and uses interpersonal skills to respond to customer inquiries
"Payroll Concepts, Policies and Principles","•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Processes routine financial and accounting transactions to ensure pay integrity,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Processes standardized pay actions to establish or update accounts and correct discrepancies,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Reviews pay authorization documents, determines and processes entitlements, identifies and corrects rejected actions","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes",•	Applies knowledge of pay regulations to process resolution of complicated cases,"•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes",•	Resolves complex pay and allowance cases involving substantial reconstruction of pay accounts and provides guidance and assists other technicians with techniques to correct and process inputs
Enterprise Perspective,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Understands the mission and goals of the Department and immediate office,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Understands where the office fits into immediate organization chart of Unit and Office, relationships between branches, workflows of major processes, how the office impacts the mission","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Understands and engages the Departments’ and Offices’ customers and addresses their needs
•	Recognizes relationships at state and local levels of government
•	Manages conflict effectively within the office","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Understands the political, legal and administrative forces that influence the offices work, relationships with other Departments and Congress
•	Recognizes the need for teamwork to meet the mission and fosters that
•	Manages conflict across organizations","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Models behaviors that demonstrate sensitivity to sharing knowledge with others, including workforce development, and demonstrating good governance and leadership techniques"
Organizational Awareness,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Keeps up-to-date by attending key meetings hosted by other agencies or organizations
•	Keeps abreast of developments of other parts of the organization","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Gathers and summarizes information to predict stakeholder views on a new policy
•	Considers external policies and trends when reviewing correspondence, reports, and policy documents","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Considers the impact of a shift in programmatic direction to meet the needs of local and national customers
•	Synthesizes complex information gathered from a variety of external sources and disseminates it to staff
•	Interprets and considers the impact of global environment and defense landscape",,,,
Project Management,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Maintains records reflecting the status of work completed for simple projects
•	Understands the basics of project management and the different schools of thought of how to implement a project successfully","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Assists project manager with day-to-day coordination and direction of team members
•	Assists with implementing moderately sized projects as a contributing team-player
•	Implements smaller projects from inception to implementation and sustainment","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Modifies the order of work performed to meet changing circumstances and deadlines
•	Acquires project resources and clarifies the roles and responsibilities of project team members
•	Manages, designs, implements, and monitors projects of moderate scope","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Develops and presents project plans to senior management, including project status, goals, and objectives
•	Adjusts and maintains resource estimates based upon project updates
•	Develops and presents project plans to senior management, including project status, goals, and objectives
•	Adjusts and maintains resource estimates based upon project updates
•	Manages, designs, implements, and monitors projects of significant scope that cross numerous functional areas
•	Serves as a manager of multiple concurrent projects",,
Technology Proficiency,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Acquires required technology-related knowledge and skills for their job
•	Chooses appropriate tools or technologies for completing tasks based on agency guidance","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Uses required technology-related knowledge and skill to complete job tasks at an acceptable level
•	Seeks out guidance from appropriate sources to complete tasks using commonly-used technology","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Uses required technology-related knowledge and skill to complete job tasks at a high level
•	Participates in user level testing of new technology requirements
•	Shares technology expertise with others regarding standard applications","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Demonstrates an interest in continually learning new technologies
•	Applies advanced knowledge of technology to complete novel job tasks outside the typical expectations of the job
•	Selects or develops new technological tools or approaches to improve processes
•	Is actively sought out by others for expertise and knowledge of complex technology issues",,
Fundamentals and Operations of Accounting,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Obtains basic data from routine or recurring reports using standardized procedures,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Extracts, records and balances basic information from routine or recurring reports using standardized procedures","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Researches, organizes and reconciles relevant information from accounts, systems and reports using various standardized procedures","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes",•	Examines non-routine financial management documentation to ensure accuracy and completeness of accounting transactions and accounts and identifies potential solutions for inaccurate or incomplete entries,"•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Identifies checks and balances of transactions and procedures that ensure data integrity and regulatory compliance to include negotiability, validity, and accuracy in the processing, auditing and certifying of accounting transactions"
Fundamentals and Operations of Budget,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Obtains and inputs basic data utilizing financial management systems,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Extracts, records and balances basic information from financial management systems","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes",•	Researches and organizes relevant budget information and systems using various standardized procedures,"•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes",•	Examines and reconciles complex transactions from budget information and systems using various standardized procedures,"•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Provides some analysis and makes recommendations, on exceptionally difficult information from reports, systems and accounts using various standardized procedures under strict time constraints"
Fundamentals and Operations of Military and Civilian Pay,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Processes and corrects routine information using well-established, clear-cut procedures and/or knowledge of simple procedures","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Examines source documents to verify accuracy, completeness and mathematics of data prior to processing
•	Advises Lead/supervisor of recurring, extraordinary or unusual situations/problems  ",,,,,,
Risk Management,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Understands the rationale behind the need for financial risk management
•	Understands the general phases and tasks involved in financial risk assessment
•	Participates in discussions on financial risk management","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Follows instructions and participates in the general phases and tasks involved in financial risk assessment
•	Understands basic concepts, methods, and tools used for risk assessment as applied to financial management","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Assists in identification and mitigation of financial risks and vulnerabilities for a specific financial management area
•	Participates in the analysis, evaluation, development, coordination, and dissemination of financial risk management methods and tools","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Contributes to the development and implementation of specific financial risk management policies and procedures
•	Identifies and analyzes financial risk, performs assessment, and develops mitigation procedures
•	Implements and integrates multiple financial risk management strategies, providing guidance to stakeholders ",,
Robotic Process Automation,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Understands what RPA is and how it might be applied
•	Identifies processes to RPA champions where RPA may simplify, save time, or achieve better results","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Understands the basic steps required to implement RPA ?Contributes, with supervision and guidance from others, to a project involving RPA","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Uses RPA to simplify a wide range of processes
•	Identifies, selects, and implements RPA to improve processes or functions ?",,,,
Contract Management,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Understands the accounting string and budget for a given contract
•	Works with appropriate authorities to verify contractual services were provided per posted transactions","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Provides historical contractual costs recorded in financial management system(s)
•	Assists with financial analysis to track cost of contract estimate to completion
•	Identifies or takes action to recommend deobligation of contractual residual open obligations","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Assists with financial analysis to evaluate cost and price proposals or renegotiation of cost/price of contracts as appropriate
•	Identifies appropriate funding line of accounting for use in response and recovery activities following an unplanned contingency
•	Performs periodic accounting reconciliation to ensure integrity of financial information or data",,,,
Audit Planning and Management,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes",•	Develops and utilizes audit processes to improve organizational efficiency and effectiveness,"•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Monitors current audit processes to ensure compliance with applicable auditing standards and regulations,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes",•	Interprets and reports the results of the audit processes to ensure consistency with Component or major organization goals and strategic initiatives,"•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes",•	Oversees and manages all aspects of the audit process on behalf of a Department to ensure integrity and accountability,"•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes",•	Leads and directs strategic audit planning efforts at the Department level
Audit Reporting,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Summarizes information related to audit findings to identify condition, criteria, cause and effect to communicate potential concerns","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes","•	Drafts sections of audit reports, statements or other documentation to support audit findings","•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes","•	Prepares significant portions of audit reports, statements or other documentation to meet audit reporting standards","•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes","•	Completes and reviews audit reports, statements or other documentation to ensure compliance with audit reporting standards","•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes","•	Collaborates with senior leadership to address complex and/or controversial findings and recommendations identified in audit reports, statements or other documentation"
Decision Support - Audit Execution,"•	Applies the competency in the simplest situations
•	Requires close and extensive guidance
•	Demonstrates awareness of concepts and processes","•	Prepares working papers to document audit evidence obtained through interviews, observations, and documentation","•	Applies the competency in somewhat difficult situations
•	Requires frequent guidance
•	Demonstrates familiarity with concepts and processes",•	Applies appropriate analytical and evaluation techniques to reach conclusions and develop recommendations,"•	Applies the competency in difficult situations
•	Requires occasional guidance
•	Demonstrates understanding of concepts and processes",•	Evaluates the accuracy and completeness of audit evidence and analyses to determine whether enough appropriate evidence exists to address the audit objectives and support the findings and conclusions,"•	Applies the competency in considerably difficult situations
•	Generally requires little or no guidance
•	Demonstrates broad understanding of concepts and processes",•	Solves difficult challenges through audit analyses to determine the proper courses of action and provides recommendations to decision-makers,"•	Applies the competency in exceptionally difficult situations
•	Serves as a key resource and advises others
•	Demonstrates comprehensive, expert understanding of concepts and processes",•	Examines the impact of complex and/or controversial audit results and coordinates recommendations with key stakeholders
