job_series,career_level,functional_competency_designation,competency,competency_group,compentency_description,proficiency_level,proficiency_level_definition,behavioral_illustrations,relevant_courses
0510 Accounting,Senior,Budget,"Budget Formulation, Justification, and Presentation",Secondary,Developing a budget and knowing how to properly allocate funds according to regulations is vital to solving constant resource challenges ,Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Formulates budget, develops justifications and presents to stakeholders for feedback",991 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 992 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 993 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Senior,Budget,"Budget Formulation, Justification, and Presentation",Secondary,Developing a budget and knowing how to properly allocate funds according to regulations is vital to solving constant resource challenges ,Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Oversees and ensures budget compliance, consolidates, defends, presents, provides guidance and resolves conflicts ? Enhances stakeholder confidence by producing reliable budget, forecast, managerial, and financial reporting information or preventing fraud, waste, and abuse within the programs",994 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 995 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 996 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Finance,Financial Management Analysis,Secondary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Reviews standard data and reports to ensure their accuracy; and assess risk by instituting risk management programs across the organization,652 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 653 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 654 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Finance,Financial Management Analysis,Secondary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Applies general analytical and evaluation techniques to review financial data,655 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 656 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 657 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Finance,Financial Management Analysis,Secondary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Interprets and evaluates financial information using a variety of analytical methods to provide recommendations,658 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 659 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 660 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Mid,Finance,Financial Management Analysis,Secondary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Solves difficult challenges through financial analysis to determine the proper course of action and provides advice to decision-makers,871 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 872 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 873 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Senior,Finance,Financial Management Analysis,Secondary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines the impact of complex financial management solutions to make controversial decisions, and negotiate with key stakeholders",1033 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1034 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1035 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Accounting,Fundamentals and Operations of Accounting,Secondary,"Knowledge of traditional accounting practices including accrual, obligations, and costs methods",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Obtains basic data from routine or recurring reports using standardized procedures,685 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 686 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 687 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Accounting,Fundamentals and Operations of Accounting,Secondary,"Knowledge of traditional accounting practices including accrual, obligations, and costs methods",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,"? Extracts, records and balances basic information from routine or recurring reports using standardized procedures",688 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 689 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 690 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Accounting,Fundamentals and Operations of Accounting,Secondary,"Knowledge of traditional accounting practices including accrual, obligations, and costs methods",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Researches, organizes and reconciles relevant information from accounts, systems and reports using various standardized procedures",691 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 692 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 693 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Entry,Accounting,Fundamentals and Operations of Accounting,Secondary,"Knowledge of traditional accounting practices including accrual, obligations, and costs methods",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Examines non-routine financial management documentation to ensure accuracy and completeness of accounting transactions and accounts and identifies potential solutions for inaccurate or incomplete entries,694 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 695 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 696 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Mid,Accounting,Fundamentals and Operations of Accounting,Secondary,"Knowledge of traditional accounting practices including accrual, obligations, and costs methods",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Examines non-routine financial management documentation to ensure accuracy and completeness of accounting transactions and accounts and identifies potential solutions for inaccurate or incomplete entries,892 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 893 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 894 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0510 Accounting,Senior,Accounting,Fundamentals and Operations of Accounting,Secondary,"Knowledge of traditional accounting practices including accrual, obligations, and costs methods",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Identifies checks and balances of transactions and procedures that ensure data integrity and regulatory compliance to include negotiability, validity, and accuracy in the processing, auditing and certifying of accounting transactions",1051 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1052 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1053 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Entry,Accounting,Accounting Analysis,Secondary,"Analyze, evaluate and review accounting data and reports using business tools and applications, and performance metrics to provide recommendations ",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Reviews standard data and reports to ensure their accuracy,1132 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1133 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1134 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Entry,Accounting,Accounting Analysis,Secondary,"Analyze, evaluate and review accounting data and reports using business tools and applications, and performance metrics to provide recommendations ",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Applies general analytical and evaluation techniques to review accounting data in line with all accounting principles,1135 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1136 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1137 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Mid,Accounting,Accounting Analysis,Secondary,"Analyze, evaluate and review accounting data and reports using business tools and applications, and performance metrics to provide recommendations ",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Interprets and evaluates accounting information using a variety of analytical methods to provide recommendations,1330 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1331 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1332 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Mid,Accounting,Accounting Analysis,Secondary,"Analyze, evaluate and review accounting data and reports using business tools and applications, and performance metrics to provide recommendations ",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Solves difficult challenges through accounting analysis to determine the proper course of action and provides advice to decision-makers,1333 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1334 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1335 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Senior,Accounting,Accounting Analysis,Secondary,"Analyze, evaluate and review accounting data and reports using business tools and applications, and performance metrics to provide recommendations ",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines the impact of complex accounting solutions to make controversial decisions, and negotiate with key stakeholders",1531 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1532 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1533 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Entry,Finance,Advanced Financial Management,Secondary,"Develop, monitor, interpret, and report standardized processes-operations to ensure transparency and compliance with financial statutory, regulatory, and leadership guidance with the intent of promoting effectiveness and accountability",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Performs finance functions with a high degree of effectiveness and efficiency,1144 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1145 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1146 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Entry,Finance,Advanced Financial Management,Secondary,"Develop, monitor, interpret, and report standardized processes-operations to ensure transparency and compliance with financial statutory, regulatory, and leadership guidance with the intent of promoting effectiveness and accountability",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Monitors current financial processes to ensure that spending programs are affordable and sustainable over time,1147 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1148 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1149 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Mid,Finance,Advanced Financial Management,Secondary,"Develop, monitor, interpret, and report standardized processes-operations to ensure transparency and compliance with financial statutory, regulatory, and leadership guidance with the intent of promoting effectiveness and accountability",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Interprets and reports the results of the financial processes to ensure consistency with Component or major organization goals and strategic initiatives,1342 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1343 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1344 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Mid,Finance,Advanced Financial Management,Secondary,"Develop, monitor, interpret, and report standardized processes-operations to ensure transparency and compliance with financial statutory, regulatory, and leadership guidance with the intent of promoting effectiveness and accountability",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Oversees and manages all aspects of the financial process on behalf of a Department to ensure financial accountability,1345 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1346 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1347 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Senior,Finance,Advanced Financial Management,Secondary,"Develop, monitor, interpret, and report standardized processes-operations to ensure transparency and compliance with financial statutory, regulatory, and leadership guidance with the intent of promoting effectiveness and accountability",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes",? Advises internal and external stakeholders and Congressional representatives on Department-wide financial processes-operations to ensure financial integrity,1537 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1538 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1539 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Entry,Budget,Budget Execution,Secondary,"Manage budget requirements by allocating, monitoring and analyzing budgets in compliance with statutory-regulatory guidance",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Applies basic knowledge of budget principles to complete budgeting transactions,1180 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1181 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1182 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Entry,Budget,Budget Execution,Secondary,"Manage budget requirements by allocating, monitoring and analyzing budgets in compliance with statutory-regulatory guidance",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,"? Develops execution reports and monitors status of funds to track organization’s budget, operations and processes",1183 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1184 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1185 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Mid,Budget,Budget Execution,Secondary,"Manage budget requirements by allocating, monitoring and analyzing budgets in compliance with statutory-regulatory guidance",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Interprets and evaluates budget execution for compliance with fiscal law and guidance,1375 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1376 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1377 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Mid,Budget,Budget Execution,Secondary,"Manage budget requirements by allocating, monitoring and analyzing budgets in compliance with statutory-regulatory guidance",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Implement execution plans and monitors and recommends adjustments to ensure compliance with total obligation authority,1378 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1379 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1380 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Senior,Budget,Budget Execution,Secondary,"Manage budget requirements by allocating, monitoring and analyzing budgets in compliance with statutory-regulatory guidance",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Manages budgetary requirements within the organization, ensures alignment, and develops and recommends appropriate strategies",1558 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1559 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1560 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Entry,Budget,"Budget Formulation, Justification, and Presentation",Secondary,Developing a budget and knowing how to properly allocate funds according to regulations is vital to solving constant resource challenges ,Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Applies basic knowledge of budget principles to assist in planning,1186 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1187 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1188 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Mid,Budget,"Budget Formulation, Justification, and Presentation",Secondary,Developing a budget and knowing how to properly allocate funds according to regulations is vital to solving constant resource challenges ,Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Coordinates budget inputs and gathers justifications,1381 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1382 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1383 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Mid,Budget,"Budget Formulation, Justification, and Presentation",Secondary,Developing a budget and knowing how to properly allocate funds according to regulations is vital to solving constant resource challenges ,Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Interprets policies, assesses trends, reviews, coordinates and integrates the formulation and preparation of budget exhibits and justification materials",1384 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1385 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1386 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Senior,Budget,"Budget Formulation, Justification, and Presentation",Secondary,Developing a budget and knowing how to properly allocate funds according to regulations is vital to solving constant resource challenges ,Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Formulates budget, develops justifications and presents to stakeholders for feedback",1561 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1562 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1563 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Senior,Budget,"Budget Formulation, Justification, and Presentation",Secondary,Developing a budget and knowing how to properly allocate funds according to regulations is vital to solving constant resource challenges ,Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Oversees and ensures budget compliance, consolidates, defends, presents, provides guidance and resolves conflicts ? Enhances stakeholder confidence by producing reliable budget, forecast, managerial, and financial reporting information or preventing fraud, waste, and abuse within the programs",1564 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1565 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1566 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Entry,Finance,Financial Management Analysis,Secondary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Reviews standard data and reports to ensure their accuracy; and assess risk by instituting risk management programs across the organization,1222 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1223 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1224 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Entry,Finance,Financial Management Analysis,Secondary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Applies general analytical and evaluation techniques to review financial data,1225 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1226 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1227 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Entry,Finance,Financial Management Analysis,Secondary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Interprets and evaluates financial information using a variety of analytical methods to provide recommendations,1228 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1229 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1230 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Mid,Finance,Financial Management Analysis,Secondary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,? Solves difficult challenges through financial analysis to determine the proper course of action and provides advice to decision-makers,1438 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1439 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1440 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Senior,Finance,Financial Management Analysis,Secondary,"Analyze, evaluate and review budget and program issues and financial data and reports using business tools and applications, cost and economic analysis, and performance metrics to provide recommendations ",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines the impact of complex financial management solutions to make controversial decisions, and negotiate with key stakeholders",1603 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1604 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1605 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Entry,Finance,Financial Management Systems,Secondary,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Uses basic information from financial management systems,1231 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1232 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1233 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Entry,Finance,Financial Management Systems,Secondary,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Inputs and extracts data and creates recurring reports to maintain financial integrity,1234 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1235 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1236 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Mid,Finance,Financial Management Systems,Secondary,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,"? Identifies system problems, extracts ad hoc reports, recommends enhancements, and initiates system change requests",1441 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1442 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1443 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0511 Auditing,Senior,Finance,Financial Management Systems,Secondary,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls",Level 4 – Advanced,? Applies the competency in considerably difficult situations ? Generally requires little or no guidance ? Demonstrates broad understanding of concepts and processes,"? Identifies functional processes, requirements or interfaces ? Analyzes and resolves problems and authorizes enhancements to support financial management functions",1606 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1607 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1608 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Accounting,Accounting Analysis,Secondary,"Analyze, evaluate and review accounting data and reports using business tools and applications, and performance metrics to provide recommendations ",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Reviews standard data and reports to ensure their accuracy,1699 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1700 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1701 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Accounting,Accounting Analysis,Secondary,"Analyze, evaluate and review accounting data and reports using business tools and applications, and performance metrics to provide recommendations ",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Applies general analytical and evaluation techniques to review accounting data in line with all accounting principles,1702 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1703 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1704 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Mid,Accounting,Accounting Analysis,Secondary,"Analyze, evaluate and review accounting data and reports using business tools and applications, and performance metrics to provide recommendations ",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Interprets and evaluates accounting information using a variety of analytical methods to provide recommendations,1897 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1898 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1899 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Senior,Accounting,Accounting Analysis,Secondary,"Analyze, evaluate and review accounting data and reports using business tools and applications, and performance metrics to provide recommendations ",Level 5 – Expert,"? Applies the competency in exceptionally difficult situations ? Serves as a key resource and advises others ? Demonstrates comprehensive, expert understanding of concepts and processes","? Examines the impact of complex accounting solutions to make controversial decisions, and negotiate with key stakeholders",2014 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 2015 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 2016 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Finance,Advanced Financial Management,Secondary,"Develop, monitor, interpret, and report standardized processes-operations to ensure transparency and compliance with financial statutory, regulatory, and leadership guidance with the intent of promoting effectiveness and accountability",Level 1 – Awareness,? Applies the competency in the simplest situations ? Requires close and extensive guidance ? Demonstrates awareness of concepts and processes,? Performs finance functions with a high degree of effectiveness and efficiency,1711 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1712 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1713 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Entry,Finance,Advanced Financial Management,Secondary,"Develop, monitor, interpret, and report standardized processes-operations to ensure transparency and compliance with financial statutory, regulatory, and leadership guidance with the intent of promoting effectiveness and accountability",Level 2 – Basic,? Applies the competency in somewhat difficult situations ? Requires frequent guidance ? Demonstrates familiarity with concepts and processes,? Monitors current financial processes to ensure that spending programs are affordable and sustainable over time,1714 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1715 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1716 Third Course Name %%% Third Course Institution ||| www.cfo.gov
0560 Budget Analysis,Mid,Finance,Advanced Financial Management,Secondary,"Develop, monitor, interpret, and report standardized processes-operations to ensure transparency and compliance with financial statutory, regulatory, and leadership guidance with the intent of promoting effectiveness and accountability",Level 3 – Intermediate,? Applies the competency in difficult situations ? Requires occasional guidance ? Demonstrates understanding of concepts and processes,? Interprets and reports the results of the financial processes to ensure consistency with Component or major organization goals and strategic initiatives,1903 First Course Name %%% First Course Institution ||| www.cfo.gov ~~~ 1904 Second Course Name %%% Second Course Institution ||| www.cfo.gov ~~~ 1905 Third Course Name %%% Third Course Institution ||| www.cfo.gov
